TestTime,Result,Cooked,PeakdB,CookedVPtime,RefVPTime,CookedTime/RefTime*100%,VPList,CookedTime,RefTime,Cooked/RefTime*100%,VRRestult,CookVLen,RefVLen
2018-05-12-17-10-46,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_10_00\capaec10.pcm,-6,12316,12036,102.326354271,[(149847 0 -49) (398842 3 -49) (434625 555 -7) (550296 4 -49) (576881 484 -8) (667589 605 -9) (781340 330 -6) (901759 397 -11) (982248 15 -44) (1038545 271 -10) (1136165 287 -17) (1221892 606 -6) (1335998 2 -49) (1381892 0 -49) (1412759 2244 -6) (1552402 2190 -6) (1697087 1875 -6) (1809672 2448 -6)],10333,8576,120.487406716,行行你行如晕行往日本邮寄了我的心里要跑步王城一种爱好汽运至四我讲的纪录片的价值被沿经一路,44,52
2018-05-12-17-11-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_11_00\capaec11.pcm,-5,11916,12036,99.0029910269,[(153659 1 -48) (433409 623 -7) (577305 489 -7) (667872 490 -9) (754789 48 -48) (780991 356 -6) (901415 383 -9) (1038675 227 -10) (1137256 271 -15) (1222307 438 -6) (1416837 2172 -5) (1552322 2181 -6) (1697209 1863 -5) (1809721 2374 -6)],10047,8576,117.152518657,赢行一行晕如你好行你往哪留了我的心你要跑跑步能成一种爱好一局制自我挑战纪录片的价值被严重低估,46,52
2018-05-12-17-12-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_12_00\capaec12.pcm,-6,12213,12036,101.470588235,[(434915 641 -7) (549745 27 -46) (577191 609 -7) (667892 578 -10) (781420 338 -6) (903014 355 -10) (1038882 227 -10) (1136947 281 -22) (1222458 462 -6) (1414397 2219 -6) (1552622 2167 -6) (1696994 1868 -6) (1809821 2441 -6)],10214,8576,119.099813433,赢行赢行如如行啊那我的心里那么好不长城一种爱好细雨帜自我挑战纪录片的价值被沿经一路,41,52
2018-05-12-17-13-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_13_00\capaec13.pcm,-6,12375,12036,102.816550349,[(433361 686 -7) (549902 72 -41) (570739 557 -7) (667628 611 -10) (780941 351 -6) (901747 461 -9) (1038959 233 -10) (1136725 263 -19) (1221815 438 -6) (1337738 40 -45) (1413010 2246 -6) (1552615 2163 -6) (1696689 1870 -6) (1809523 2384 -6)],10254,8576,119.566231343,云行赢行晕如行你画了我的心你要么好不王城一种爱好一局制自我挑战纪录片的价值被严重低估,42,52
2018-05-12-17-14-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_14_00\capaec14.pcm,-6,12374,12036,102.808241941,[(435294 542 -7) (549744 77 -40) (576896 501 -7) (667683 563 -8) (754234 57 -44) (775693 464 -6) (903554 355 -9) (1038831 250 -11) (1136101 286 -20) (1222215 440 -6) (1335783 9 -48) (1413311 2239 -6) (1552653 2173 -6) (1696470 1918 -6) (1809987 2373 -6) (2126334 12 -49) (2147841 115 -33)],10209,8576,119.041511194,赢行赢行永如行往流进我的心你要么好不王城一种爱好自己意识自我挑战纪录片的价值被严重低估,43,52
2018-05-12-17-15-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_15_00\capaec15.pcm,-6,12190,12036,101.279494849,[(435282 550 -7) (552498 6 -48) (577874 586 -7) (668027 555 -11) (781502 328 -6) (902775 454 -12) (982174 13 -43) (1038806 251 -11) (1068576 13 -46) (1140234 197 -19) (1222082 411 -6) (1336025 1 -48) (1413622 2235 -6) (1552566 2214 -6) (1696532 1896 -6) (1809723 2480 -6)],10321,8576,120.347481343,人行用行如行我感觉我的我的心你要不要考虑换成一种爱好抑郁质自我挑战纪录片的价值被严重低估,44,52
2018-05-12-17-16-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_16_00\capaec16.pcm,-6,12515,12036,103.979727484,[(435282 546 -7) (550429 18 -44) (577879 487 -7) (668452 561 -9) (755566 75 -45) (772918 532 -6) (901876 648 -12) (982921 2 -47) (1039051 237 -10) (1140972 206 -17) (1222648 441 -6) (1339353 123 -47) (1417649 2143 -6) (1553222 2180 -6) (1697341 1872 -6) (1810634 2444 -6)],10205,8576,118.994869403,赢行赢行如用行网怎么的了我的心里让跑步王城一种爱好t橘子自我挑战纪录片的价值被严重低估,43,52
2018-05-12-17-17-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_17_00\capaec17.pcm,-6,12446,12036,103.406447325,[(434373 630 -6) (549714 77 -42) (577287 582 -7) (667872 582 -9) (781600 336 -6) (903278 349 -12) (982546 8 -48) (1038881 270 -11) (1140686 195 -20) (1222272 608 -6) (1413767 2228 -6) (1552639 2221 -6) (1696660 1885 -6) (1810041 2475 -6)],10357,8576,120.767257463,赢行赢行如用行网的那我的心里老婆好不王城一种爱好自己一直自我挑战纪录片的价值被沿经一路,43,52
2018-05-12-17-18-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_18_00\capaec18.pcm,-5,12178,12036,101.179793951,[(432201 588 -7) (550336 49 -45) (575806 467 -7) (666968 440 -10) (780447 354 -5) (899650 451 -10) (982526 11 -48) (1038064 239 -12) (1135983 269 -14) (1221030 451 -6) (1412223 2273 -6) (1551620 2186 -6) (1695450 1903 -6) (1808534 2497 -6) (2036779 0 -48) (2090339 0 -49)],10047,8576,117.152518657,赢行有行晕如你好行啊那我就心里要么好不长城一种爱好自己一直自我挑战纪录片的价值被严重低估,44,52
2018-05-12-17-19-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_19_00\capaec19.pcm,-6,12377,12036,102.833167165,[(435284 546 -7) (549500 66 -46) (577813 592 -7) (668038 574 -9) (758830 17 -45) (773406 495 -6) (901653 403 -9) (1039243 254 -12) (1138975 236 -23) (1222233 398 -6) (1413026 2264 -6) (1552751 2187 -6) (1696862 1873 -6) (1809961 2442 -6) (2054789 30 -43)],10258,8576,119.612873134,赢行一行晕请行网的那我的心里让跑步当成一种爱好自己一直是我讲的纪录片的价值被严重低估,42,52
2018-05-12-17-20-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_20_00\capaec20.pcm,-4,12339,12036,102.517447657,[(256347 12 -46) (435645 743 -7) (549511 28 -43) (577742 687 -6) (668233 579 -8) (782018 332 -6) (903313 398 -10) (1039467 240 -9) (1143034 151 -20) (1222604 419 -6) (1336038 0 -49) (1415129 2243 -4) (1553279 2178 -6) (1697413 1862 -6) (1810575 2467 -6)],10046,8576,117.140858209,行行有行如用行网了我的心里那么好不忙成一种爱好一局制自我挑战纪录片的价值被沿经一路,41,52
2018-05-12-17-21-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_21_00\capaec21.pcm,-6,12476,12036,103.655699568,[(435870 541 -6) (550272 63 -41) (577656 641 -7) (668619 569 -9) (754189 47 -42) (782245 335 -6) (903381 421 -9) (1039375 271 -11) (1088453 50 -46) (1141537 194 -19) (1223098 587 -6) (1336185 0 -48) (1413881 2226 -6) (1553158 2172 -6) (1697469 1905 -6) (1810671 2454 -6)],10263,8576,119.671175373,赢行用行如如行光喝酒了我的心里让跑步换成一种爱好至于制自我挑战纪录片的价值被严重低估,42,52
2018-05-12-17-22-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_22_00\capaec22.pcm,-6,12227,12036,101.586905949,[(435427 550 -7) (550693 9 -48) (577919 606 -7) (668015 591 -10) (781651 340 -6) (902276 464 -10) (982865 14 -44) (1038559 254 -12) (1141296 192 -24) (1222740 417 -6) (1336497 71 -48) (1413570 2246 -6) (1553075 2184 -6) (1697630 1872 -6) (1810084 2377 -6) (2037648 40 -43)],10243,8576,119.437966418,赢行用行晕请行往哪留了我的心你要么好不长城一种爱好至于制自我挑战纪录片的价值被严重低估,43,52
2018-05-12-17-23-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_23_00\capaec23.pcm,-6,11916,12036,99.0029910269,[(435733 539 -6) (578425 446 -7) (668574 571 -11) (772608 518 -6) (903737 347 -9) (982621 3 -48) (1039333 246 -9) (1066981 0 -49) (1143045 159 -21) (1222628 408 -6) (1414345 2218 -7) (1553124 2211 -6) (1697472 1864 -6) (1810344 2386 -6)],10021,8576,116.849347015,赢行赢行如用行网的流进了我的心你要么好不长城一种爱好t橘子自我挑战纪录片的价值被沿经一路,44,52
2018-05-12-17-24-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_24_00\capaec24.pcm,-5,12322,12036,102.376204719,[(398491 5 -48) (421869 0 -49) (436699 661 -6) (552148 21 -44) (579124 619 -6) (670461 537 -10) (757514 19 -47) (783347 337 -5) (903670 538 -9) (982193 15 -46) (1039964 273 -13) (1144122 169 -19) (1224455 438 -6) (1418553 2142 -6) (1554624 2192 -6) (1698831 1910 -6) (1811995 2446 -6)],10285,8576,119.927705224,行行营行如晕行我的心里要划好不长城一种爱好系行使自我挑战纪录片的价值被沿静一静,39,52
2018-05-12-17-25-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_25_00\capaec25.pcm,-6,12756,12036,105.982053838,[(435666 641 -7) (550087 79 -41) (569847 665 -7) (668534 579 -8) (775020 484 -6) (903965 474 -10) (981575 47 -40) (1039582 278 -11) (1142596 171 -21) (1223029 612 -6) (1382383 5 -47) (1417312 2176 -6) (1553606 2161 -6) (1697723 1898 -6) (1810432 2454 -6) (2060693 32 -47)],10336,8576,120.52238806,赢行有行如你行广那我的心你要么好不王城一种爱好继续抑制自我挑战纪录片的价值被严重低估,42,52
2018-05-12-17-26-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_26_00\capaec26.pcm,-6,12161,12036,101.038551014,[(319572 0 -49) (435565 581 -6) (549522 28 -44) (577533 502 -6) (668483 562 -9) (781958 334 -6) (902635 423 -10) (1039191 282 -8) (1140790 209 -22) (1222533 604 -6) (1336050 3 -47) (1417617 2155 -6) (1553203 2169 -6) (1697316 1868 -6) (1810387 2441 -6) (2030506 0 -48)],10214,8576,119.099813433,赢行用行晕有行广告给了我的心你要跑步王城一种爱好鲫鱼子我讲了纪录片的价值被眼睛一闭,41,52
2018-05-12-17-27-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_27_00\capaec27.pcm,-6,11752,12036,97.640412097,[(436004 538 -6) (550282 11 -46) (578443 410 -7) (668491 568 -11) (782064 331 -6) (903449 394 -9) (982871 0 -49) (1039154 272 -10) (1142214 177 -21) (1223051 404 -6) (1418221 2127 -6) (1553143 2189 -6) (1697442 1889 -6) (1810654 2442 -6)],10266,8576,119.706156716,营行赢行如你行挂什么了我的心里让碰好不王城一种爱好气郁质自我挑战纪录片的价值被沿经一路,43,52
2018-05-12-17-28-46,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_28_00\capaec28.pcm,-6,12252,12036,101.794616152,[(41769 0 -48) (434155 676 -7) (576847 453 -7) (667379 600 -9) (780542 349 -6) (902347 374 -9) (1037753 250 -10) (1067075 6 -49) (1135957 278 -21) (1221792 426 -6) (1381958 0 -49) (1413516 2256 -6) (1552005 2201 -6) (1696717 1883 -6) (1809362 2493 -6) (2081512 7 -47)],10137,8576,118.201958955,赢行赢行晕如行126了我的心里那么好不长城一种爱好气虚质自我挑战纪录片的价值被严重低估,43,52
2018-05-12-17-29-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_29_00\capaec29.pcm,-5,12031,12036,99.9584579595,[(257700 93 -41) (435875 549 -7) (552596 1 -49) (578182 486 -7) (668583 576 -10) (782208 326 -6) (902500 391 -9) (932253 0 -49) (982003 20 -43) (1039380 242 -10) (1143089 152 -21) (1222789 438 -6) (1336067 0 -49) (1414713 2236 -5) (1553201 2190 -6) (1697035 1890 -6) (1810552 2441 -6)],10227,8576,119.251399254,赢明赢行晕一行往哪流进了我的心里要好好不能成一种爱好具体位置自我挑战纪录片的价值被严重低估,45,52
2018-05-12-17-30-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_30_00\capaec30.pcm,-6,11795,12036,97.9976736457,[(436021 522 -6) (578497 489 -6) (669113 559 -9) (782215 337 -6) (903147 365 -9) (982584 17 -45) (1039722 237 -10) (1141860 191 -19) (1222908 418 -7) (1336442 0 -49) (1417757 2154 -6) (1553658 2168 -6) (1697783 1875 -6) (1810777 2463 -6) (2036204 0 -48)],10117,8576,117.96875,赢行赢行晕晕行啊什么呢我的心里要跑步王城一种爱好抑郁质自我挑战纪录片的价值被严重低估,42,52
2018-05-12-17-31-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_31_00\capaec31.pcm,-5,11931,12036,99.1276171486,[(435750 676 -7) (550070 5 -47) (578230 486 -7) (668861 478 -9) (782140 332 -6) (903371 441 -9) (1039394 240 -11) (1076178 0 -49) (1091333 0 -49) (1143120 159 -22) (1223054 436 -6) (1417839 2152 -5) (1553222 2191 -6) (1697521 1878 -6) (1810455 2457 -6)],10095,8576,117.712220149,云行晕行行一行晚安了我的心你要管好不我成一种爱好t于是自我挑战纪录片的价值被严重低估,42,52
2018-05-12-17-32-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_32_00\capaec32.pcm,-6,12170,12036,101.113326687,[(245513 0 -49) (436073 555 -6) (550156 8 -46) (578141 607 -7) (668937 570 -9) (782263 326 -6) (903574 515 -11) (1039156 265 -9) (1143290 154 -20) (1222984 392 -6) (1340417 24 -47) (1391086 0 -49) (1414036 2235 -6) (1553550 2169 -6) (1697246 1889 -6) (1810766 2456 -6) (2094526 5 -48)],10281,8576,119.881063433,赢行赢行如与行那我的心里老婆好不王城一种爱好一局制自我挑战纪录片的价值被严重低估,40,52
2018-05-12-17-33-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_33_00\capaec33.pcm,-4,12248,12036,101.761382519,[(433835 565 -7) (549949 30 -44) (577133 473 -7) (667679 517 -9) (780995 346 -6) (902485 399 -10) (982997 2 -47) (1038626 256 -10) (1136266 278 -14) (1220039 486 -6) (1340140 49 -43) (1413005 2257 -6) (1552762 2178 -6) (1696944 1899 -4) (1809531 2482 -6) (2058523 31 -46)],10003,8576,116.639458955,赢行用行人用你好行啊那我的心要跑好步能成一种爱自己一直是我调的纪录片的价值被沿经一路,42,52
2018-05-12-17-34-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_34_00\capaec34.pcm,-6,12539,12036,104.179129279,[(433310 574 -7) (549570 27 -43) (577214 609 -7) (667646 608 -9) (775038 476 -6) (901163 520 -10) (1038438 243 -10) (1136199 284 -15) (1221714 434 -6) (1343986 3 -49) (1416871 2213 -6) (1552381 2171 -6) (1696473 1885 -6) (1809409 2492 -6)],10226,8576,119.239738806,云行赢行如如行还么子了我的心里那么好不王城一种爱好至于制自我挑战纪录片的价值被沿经一路,43,52
2018-05-12-17-35-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_35_00\capaec35.pcm,-5,12784,12036,106.214689266,[(434068 683 -7) (552053 18 -42) (576651 603 -7) (667557 522 -9) (753860 22 -45) (780689 347 -5) (901197 651 -10) (1038360 277 -8) (1136146 277 -22) (1217379 513 -6) (1335194 108 -43) (1381522 2 -48) (1412836 2244 -6) (1552318 2202 -6) (1696444 1866 -5) (1809309 2449 -6)],10132,8576,118.143656716,云行用行如用行哪能看流星了我的心你要跑步王城一种爱至于制自我挑战纪录片的价值被严重低估,43,52
2018-05-12-17-36-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_36_00\capaec36.pcm,-5,12296,12036,102.160186108,[(434851 547 -7) (552649 0 -49) (577004 493 -7) (667884 599 -10) (754269 25 -49) (781274 342 -6) (903267 407 -12) (1038763 221 -11) (1141626 168 -18) (1218745 510 -6) (1335324 256 -44) (1390869 8 -47) (1413212 2245 -5) (1552556 2202 -6) (1696891 1873 -6) (1809844 2400 -6)],9967,8576,116.219682836,赢行赢行永用行网址发给我了我的心里要跑步当成一种爱好徐志自我挑战纪录片的价值被严重低估,43,52
2018-05-12-17-37-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_37_00\capaec37.pcm,-6,12714,12036,105.633100698,[(434965 731 -7) (549308 20 -46) (576598 592 -7) (667155 606 -9) (754453 32 -47) (780349 343 -6) (901154 560 -9) (1038146 239 -10) (1135837 284 -19) (1219186 472 -6) (1335676 3 -46) (1355950 3 -48) (1412484 2259 -6) (1552008 2168 -6) (1696570 1879 -6) (1809043 2460 -6) (2087750 63 -47)],10463,8576,122.003264925,赢行赢行晕与行往日不了我的心你要么好不王城一种爱好至于制自我挑战纪录片的价值被沿经一路,43,52
2018-05-12-17-38-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_38_00\capaec38.pcm,-6,12288,12036,102.093718843,[(434676 615 -7) (552346 2 -48) (576708 480 -7) (667689 601 -8) (754015 95 -44) (780767 359 -6) (901565 361 -9) (1038592 267 -11) (1081279 27 -49) (1136169 275 -22) (1216147 559 -6) (1381781 0 -49) (1416117 2184 -7) (1552238 2178 -6) (1696246 1900 -6) (1809459 2385 -6)],10279,8576,119.857742537,行行有行晕用行往日不了我的心里那么好不忙成一种爱好自己秘制自我挑战纪录片的价值被严重低估,44,52
2018-05-12-17-39-46,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_39_00\capaec39.pcm,-6,12279,12036,102.01894317,[(176470 0 -49) (261483 3 -47) (435706 528 -7) (577566 681 -6) (668560 553 -9) (781669 334 -6) (902019 478 -12) (982358 11 -44) (1039152 260 -12) (1142848 160 -23) (1222730 424 -6) (1414950 2203 -6) (1552961 2190 -6) (1697189 1900 -6) (1810095 2445 -6) (2072971 109 -46)],10265,8576,119.694496269,赢行赢行如请行哇那我的心里要么好不长城一种爱好徐志自我挑战纪录片的价值被严重低估,40,52
2018-05-12-17-40-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_40_00\capaec40.pcm,-5,12464,12036,103.555998671,[(158483 0 -49) (434406 571 -7) (549672 20 -43) (577339 601 -7) (667599 612 -10) (773076 527 -6) (903175 513 -9) (1039153 209 -9) (1136759 268 -22) (1221998 432 -6) (1417490 2149 -6) (1552663 2179 -6) (1696405 1904 -5) (1809883 2479 -6)],10191,8576,118.831623134,云行赢行晕用行往日不了我的心你要跑步王城一种爱好橘子自我挑战纪录片的价值被沿进一步,41,52
2018-05-12-17-41-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_41_00\capaec41.pcm,-6,12114,12036,100.648055833,[(435068 571 -7) (550542 54 -46) (577220 647 -7) (667861 595 -9) (781448 336 -6) (903011 341 -11) (1038763 262 -11) (1140480 191 -20) (1222231 422 -6) (1416423 2173 -6) (1552432 2179 -6) (1697232 1859 -6) (1809678 2484 -6)],10267,8576,119.717817164,赢行赢行如你行网的那我的心里那么好不能成一种爱好一局制自我挑战纪录片的价值被沿经一路,42,52
2018-05-12-17-42-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_42_00\capaec42.pcm,-5,12236,12036,101.661681622,[(271284 0 -49) (434814 552 -7) (549687 66 -44) (577764 591 -7) (667703 597 -9) (781200 354 -6) (901793 401 -10) (1039128 212 -10) (1140299 203 -14) (1222172 472 -6) (1413158 2241 -5) (1552496 2206 -6) (1696764 1862 -6) (1809636 2479 -6)],10114,8576,117.933768657,赢行影行如如你行晚安了我的心里那么好不忙成一种爱好继续抑制自我挑战纪录片的价值被严峻呢,43,52
2018-05-12-17-43-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_43_00\capaec43.pcm,-6,12728,12036,105.749418411,[(436240 555 -6) (549211 63 -43) (578712 719 -6) (669733 551 -9) (774803 496 -6) (903600 402 -9) (982467 0 -49) (1039777 273 -12) (1074973 73 -45) (1143910 160 -20) (1219812 657 -6) (1342849 0 -48) (1415027 2221 -6) (1553964 2190 -6) (1697923 1908 -6) (1811154 2460 -6)],10479,8576,122.18983209,赢应赢行晕群行网怎么进了我的心里要管好不养成一种爱好t型自我挑战纪录片的价值被严峻的问题,44,52
2018-05-12-17-44-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_12_17_44_00\capaec44.pcm,-6,12718,12036,105.66633433,[(399085 0 -49) (436714 766 -6) (550713 0 -49) (579248 592 -7) (670734 553 -9) (756465 38 -48) (771299 620 -6) (904707 415 -12) (982901 0 -49) (1040134 280 -13) (1144396 162 -19) (1224270 550 -6) (1335793 47 -47) (1418749 2130 -6) (1554675 2199 -6) (1698455 1901 -6) (1811703 2460 -6) (2099486 5 -47)],10399,8576,121.256996269,赢行英语行如人行往哪晕了我的心里要管好不忙成一种爱好一曲日自我挑战纪录片的价值被严重低估,44,52
